customer_id,frequency,monetary,recency,ticket_count,return_rate,segment_name
CUST00033,4,2128.09,12,2.0,0.5,High-Value Unhappy
CUST00034,6,3353.01,50,3.0,0.0,Regular Value Core
CUST00035,3,1369.71,127,0.0,0.0,Regular Value Core
CUST00036,4,1737.33,27,1.0,0.25,Regular Value Core
CUST00037,1,435.83,102,0.0,0.0,Regular Value Core
CUST00038,4,2104.61,51,1.0,0.0,Regular Value Core
CUST00039,3,1598.49,15,0.0,0.0,Regular Value Core
CUST00040,1,634.73,154,1.0,0.0,Regular Value Core
CUST00041,4,1911.8600000000001,54,1.0,0.0,Regular Value Core
CUST00042,9,7523.74,87,6.0,0.2222222222222222,Regular Value Core
CUST00043,1,363.01,24,0.0,0.0,New Shoppers
CUST00044,3,2724.09,72,1.0,0.0,Regular Value Core
CUST00045,1,413.75,96,0.0,0.0,Regular Value Core
CUST00046,1,489.87,127,0.0,0.0,Regular Value Core
CUST00047,1,764.43,204,0.0,0.0,Regular Value Core
CUST00048,4,2450.45,61,1.0,0.25,Regular Value Core
CUST00049,1,380.83,8,0.0,0.0,New Shoppers
CUST00050,3,2466.39,0,1.0,0.3333333333333333,Regular Value Core
CUST00051,4,4444.3,210,2.0,0.0,At-Risk High-Value
CUST00052,3,2807.14,55,1.0,0.3333333333333333,Regular Value Core
CUST00053,4,4192.59,25,2.0,0.0,Regular Value Core
CUST00054,1,489.85,6,0.0,0.0,New Shoppers
CUST00055,3,1308.35,3,1.0,0.0,Regular Value Core
CUST00056,4,3530.41,9,1.0,0.0,Regular Value Core
CUST00057,2,2510.83,136,0.0,0.0,At-Risk High-Value
CUST00058,4,2451.54,42,0.0,0.0,Regular Value Core
CUST00059,3,2852.63,2,0.0,0.0,Regular Value Core
CUST00060,1,293.22,145,0.0,0.0,Regular Value Core
CUST00061,4,1966.0900000000001,14,1.0,0.0,Regular Value Core
CUST00062,4,2805.19,21,1.0,0.0,Regular Value Core
CUST00063,1,397.69,216,1.0,0.0,Regular Value Core
CUST00064,1,654.93,2,0.0,0.0,New Shoppers
CUST00065,1,1911.67,6,0.0,0.0,New Shoppers
CUST00066,5,4598.95,320,1.0,0.0,At-Risk High-Value
CUST00067,2,1246.44,63,1.0,0.5,Regular Value Core
CUST00068,3,2123.66,346,1.0,0.3333333333333333,At-Risk High-Value
CUST00069,2,874.47,29,0.0,0.0,New Shoppers
CUST00070,1,542.98,38,0.0,0.0,New Shoppers
CUST00071,1,2062.5,32,1.0,0.0,New Shoppers
CUST00072,4,2587.02,90,0.0,0.0,Regular Value Core
CUST00073,5,4077.07,8,0.0,0.0,Champions
CUST00074,4,2523.65,7,1.0,0.25,Regular Value Core
CUST00075,9,6791.61,3,4.0,0.0,Champions
CUST00076,2,1385.27,20,0.0,0.0,New Shoppers
CUST00077,1,394.32,109,0.0,0.0,Regular Value Core
CUST00078,1,894.45,139,1.0,1.0,Regular Value Core
CUST00079,1,619.57,191,0.0,0.0,Regular Value Core
CUST00080,3,2563.41,50,0.0,0.0,Regular Value Core
CUST00081,8,5311.16,19,3.0,0.25,Champions
CUST00082,3,1671.25,254,0.0,0.0,Regular Value Core
CUST00083,2,806.87,89,1.0,0.5,Regular Value Core
CUST00084,1,1273.18,167,0.0,0.0,Regular Value Core
CUST00085,1,1257.8,14,0.0,0.0,New Shoppers
CUST00086,5,2195.41,21,1.0,0.0,Champions
CUST00087,1,933.58,44,0.0,0.0,New Shoppers
CUST00088,12,6774.5,98,1.0,0.0,At-Risk High-Value
CUST00089,2,2825.75,165,0.0,0.0,At-Risk High-Value
CUST00090,4,1966.31,80,1.0,0.0,Regular Value Core
CUST00091,4,3726.87,90,1.0,0.0,Regular Value Core
CUST00092,1,430.85,21,0.0,0.0,New Shoppers
CUST00093,1,759.64,85,0.0,0.0,Regular Value Core
CUST00094,4,3557.43,183,2.0,0.0,At-Risk High-Value
CUST00095,1,372.65,65,1.0,0.0,Regular Value Core
CUST00096,3,1563.75,61,1.0,0.3333333333333333,Regular Value Core
CUST00097,7,4703.46,1,2.0,0.14285714285714285,Champions
CUST00098,2,1843.57,184,1.0,0.0,Regular Value Core
CUST00099,5,3410.87,144,1.0,0.0,At-Risk High-Value
CUST00100,1,372.37,70,0.0,0.0,Regular Value Core
CUST00101,5,3514.87,108,2.0,0.0,At-Risk High-Value
CUST00102,1,732.65,83,0.0,0.0,Regular Value Core
CUST00103,1,1469.96,21,0.0,0.0,New Shoppers
CUST00104,1,955.63,93,0.0,0.0,Regular Value Core
CUST00105,1,2052.43,46,0.0,0.0,New Shoppers
CUST00106,7,4352.11,61,1.0,0.0,Regular Value Core
CUST00107,3,3548.15,12,0.0,0.0,Regular Value Core
CUST00108,1,1074.5,44,1.0,1.0,New Shoppers
CUST00109,5,3837.05,92,0.0,0.0,At-Risk High-Value
CUST00110,6,3922.07,35,2.0,0.0,Champions
CUST00111,1,1135.09,178,0.0,0.0,Regular Value Core
CUST00112,8,5576.25,0,1.0,0.125,Champions
CUST00113,2,1601.31,28,0.0,0.0,New Shoppers
CUST00114,6,5133.53,239,1.0,0.0,At-Risk High-Value
CUST00115,1,596.54,159,1.0,0.0,Regular Value Core
CUST00116,6,5635.9,143,0.0,0.0,At-Risk High-Value
CUST00117,4,2534.33,123,0.0,0.0,At-Risk High-Value
CUST00118,1,689.56,27,0.0,0.0,New Shoppers
CUST00119,3,2848.36,69,1.0,0.0,Regular Value Core
CUST00120,1,261.95,26,0.0,0.0,New Shoppers
CUST00121,2,2496.0299999999997,27,0.0,0.0,New Shoppers
CUST00122,2,2048.93,106,0.0,0.0,At-Risk High-Value
CUST00123,6,2989.07,102,3.0,0.16666666666666666,At-Risk High-Value
CUST00124,4,2570.5,194,0.0,0.0,At-Risk High-Value
CUST00125,2,1698.4,8,0.0,0.0,New Shoppers
CUST00126,2,1260.02,57,0.0,0.0,New Shoppers
CUST00127,2,729.55,24,0.0,0.0,New Shoppers
CUST00128,2,1716.68,19,0.0,0.0,New Shoppers
CUST00129,3,3369.08,83,2.0,0.3333333333333333,High-Value Unhappy
CUST00130,1,1272.47,88,0.0,0.0,Regular Value Core
CUST00131,6,6830.01,67,0.0,0.0,Regular Value Core
CUST00132,5,4876.780000000001,117,0.0,0.0,At-Risk High-Value
CUST00133,8,5982.58,54,1.0,0.0,Regular Value Core
CUST00134,5,4075.34,35,3.0,0.2,Champions
CUST00135,4,2534.18,333,0.0,0.0,At-Risk High-Value
CUST00136,1,514.9,71,0.0,0.0,Regular Value Core
CUST00137,2,1035.87,177,0.0,0.0,Regular Value Core
CUST00138,1,905.11,61,0.0,0.0,Regular Value Core
CUST00139,2,1715.4,28,2.0,0.0,New Shoppers
CUST00140,4,3768.34,6,2.0,0.0,Regular Value Core
CUST00141,1,647.85,28,0.0,0.0,New Shoppers
CUST00142,5,1880.0,169,0.0,0.0,Regular Value Core
CUST00143,6,7407.96,32,0.0,0.0,Champions
CUST00144,9,6186.54,86,3.0,0.1111111111111111,Regular Value Core
CUST00145,1,502.35,30,0.0,0.0,New Shoppers
CUST00146,5,5942.68,108,1.0,0.2,At-Risk High-Value
CUST00147,3,2809.3199999999997,84,1.0,0.0,Regular Value Core
CUST00148,4,3013.01,4,1.0,0.0,Regular Value Core
CUST00149,1,787.94,8,0.0,0.0,New Shoppers
CUST00150,3,1355.63,45,0.0,0.0,Regular Value Core
CUST00151,7,5530.69,62,3.0,0.0,Regular Value Core
CUST00152,7,4989.280000000001,46,4.0,0.14285714285714285,Regular Value Core
CUST00153,1,977.12,3,0.0,0.0,New Shoppers
CUST00154,8,7145.24,10,0.0,0.0,Champions
CUST00155,3,2024.8,2,0.0,0.0,Regular Value Core
CUST00156,2,4241.75,34,1.0,0.5,New Shoppers
CUST00157,5,2269.91,0,1.0,0.0,Champions
CUST00158,1,812.34,155,0.0,0.0,Regular Value Core
CUST00159,2,3713.77,474,0.0,0.0,At-Risk High-Value
CUST00160,2,1064.66,177,1.0,0.0,Regular Value Core
CUST00161,4,4490.9,20,0.0,0.0,Regular Value Core
CUST00162,2,1194.5900000000001,91,0.0,0.0,Regular Value Core
CUST00163,1,275.41,70,0.0,0.0,Regular Value Core
CUST00164,5,4657.03,222,1.0,0.0,At-Risk High-Value
CUST00165,3,1825.77,103,0.0,0.0,Regular Value Core
CUST00166,1,1269.41,15,1.0,0.0,New Shoppers
CUST00167,1,423.24,219,0.0,0.0,Regular Value Core
CUST00168,4,4159.16,85,0.0,0.0,Regular Value Core
CUST00169,1,1799.45,222,0.0,0.0,Regular Value Core
CUST00170,10,6759.48,9,1.0,0.0,Champions
CUST00171,1,1077.78,12,0.0,0.0,New Shoppers
CUST00172,7,4910.65,8,3.0,0.0,Champions
CUST00173,5,1431.69,79,1.0,0.0,Regular Value Core
CUST00174,6,2361.28,86,2.0,0.16666666666666666,Regular Value Core
CUST00175,4,3568.3199999999997,59,1.0,0.0,Regular Value Core
CUST00176,3,3830.31,37,0.0,0.0,Regular Value Core
CUST00177,2,1003.66,82,0.0,0.0,Regular Value Core
CUST00178,8,5602.76,5,4.0,0.25,Champions
CUST00179,3,1585.62,38,2.0,0.0,Regular Value Core
CUST00180,2,1570.85,96,1.0,0.5,Regular Value Core
CUST00181,1,1107.73,6,0.0,0.0,New Shoppers
CUST00182,1,305.3,31,0.0,0.0,New Shoppers
CUST00183,3,3246.8900000000003,152,1.0,0.0,At-Risk High-Value
CUST00184,5,5072.85,14,2.0,0.0,Champions
CUST00185,7,4179.18,114,0.0,0.0,At-Risk High-Value
CUST00186,1,714.65,41,1.0,0.0,New Shoppers
CUST00187,3,1344.75,149,1.0,0.0,Regular Value Core
CUST00188,7,5810.17,29,3.0,0.14285714285714285,Champions
CUST00189,9,5900.65,140,3.0,0.1111111111111111,At-Risk High-Value
CUST00190,1,482.88,6,1.0,0.0,New Shoppers
CUST00191,1,149.0,28,0.0,0.0,New Shoppers
CUST00192,3,2263.95,55,0.0,0.0,Regular Value Core
CUST00193,1,424.74,157,0.0,0.0,Regular Value Core
CUST00194,5,3878.09,80,3.0,0.4,High-Value Unhappy
CUST00195,1,654.27,23,1.0,0.0,New Shoppers
CUST00196,2,1272.38,24,1.0,0.0,New Shoppers
CUST00197,9,8552.59,15,3.0,0.0,Champions
CUST00198,9,7595.96,37,2.0,0.0,Champions
CUST00199,4,3273.56,6,1.0,0.0,Regular Value Core
CUST00200,6,6239.45,15,1.0,0.0,Champions
CUST00201,7,6691.56,93,2.0,0.0,At-Risk High-Value
CUST00202,1,1220.26,141,0.0,0.0,Regular Value Core
CUST00203,2,743.3499999999999,114,0.0,0.0,Regular Value Core
CUST00204,5,2706.75,42,0.0,0.0,Champions
CUST00205,5,3202.69,30,0.0,0.0,Champions
CUST00206,10,6479.7,118,3.0,0.1,At-Risk High-Value
CUST00207,1,193.1,18,0.0,0.0,New Shoppers
CUST00208,6,6865.35,91,1.0,0.0,At-Risk High-Value
CUST00209,5,3422.88,279,1.0,0.2,At-Risk High-Value
CUST00210,2,1254.8700000000001,128,0.0,0.0,Regular Value Core
CUST00211,5,27215.920000000002,90,1.0,0.0,Regular Value Core
CUST00212,3,2071.6800000000003,204,0.0,0.0,At-Risk High-Value
CUST00213,2,1680.61,86,2.0,1.0,High-Value Unhappy
CUST00214,1,1427.16,64,0.0,0.0,Regular Value Core
CUST00215,3,1564.1,34,1.0,0.0,Regular Value Core
CUST00216,1,1349.42,48,1.0,1.0,New Shoppers
CUST00217,3,1179.94,79,0.0,0.0,Regular Value Core
CUST00218,2,1492.68,23,0.0,0.0,New Shoppers
CUST00219,6,2782.79,154,1.0,0.0,At-Risk High-Value
CUST00220,3,1450.4099999999999,25,1.0,0.0,Regular Value Core
CUST00221,2,781.03,7,0.0,0.0,New Shoppers
CUST00222,2,1259.5,186,1.0,0.0,Regular Value Core
CUST00223,1,757.58,103,1.0,0.0,Regular Value Core
CUST00224,2,1839.95,89,1.0,0.5,Regular Value Core
CUST00225,3,3012.6,88,0.0,0.0,Regular Value Core
CUST00226,3,2345.42,54,1.0,0.3333333333333333,Regular Value Core
CUST00227,6,4383.02,153,2.0,0.16666666666666666,At-Risk High-Value
CUST00228,7,4150.72,82,2.0,0.14285714285714285,Regular Value Core
CUST00229,5,3077.41,92,1.0,0.0,At-Risk High-Value
CUST00230,8,7503.74,37,2.0,0.0,Champions
CUST00231,3,1558.41,23,0.0,0.0,Regular Value Core
CUST00232,1,786.26,55,0.0,0.0,New Shoppers
CUST00233,3,1626.9899999999998,361,0.0,0.0,Regular Value Core
CUST00234,4,2458.9700000000003,17,0.0,0.0,Regular Value Core
CUST00235,4,2278.82,125,0.0,0.0,At-Risk High-Value
CUST00236,1,782.89,62,1.0,0.0,Regular Value Core
CUST00237,4,3607.29,15,0.0,0.0,Regular Value Core
CUST00238,2,2181.78,78,2.0,0.0,Regular Value Core
CUST00239,1,208.1,320,0.0,0.0,Regular Value Core
CUST00240,2,2277.31,56,1.0,0.0,New Shoppers
CUST00241,3,3041.48,6,0.0,0.0,Regular Value Core
CUST00242,6,3655.25,82,0.0,0.0,Regular Value Core
CUST00243,4,3129.06,69,1.0,0.25,Regular Value Core
CUST00244,2,2449.86,144,0.0,0.0,At-Risk High-Value
CUST00245,2,1245.78,73,0.0,0.0,Regular Value Core
CUST00246,3,1985.72,52,1.0,0.0,Regular Value Core
CUST00247,11,5611.35,57,3.0,0.0,Regular Value Core
CUST00248,7,4187.5599999999995,71,0.0,0.0,Regular Value Core
CUST00249,3,1761.46,162,0.0,0.0,Regular Value Core
CUST00250,1,837.19,35,0.0,0.0,New Shoppers
CUST00251,1,966.73,41,1.0,1.0,New Shoppers
CUST00252,6,5194.02,190,0.0,0.0,At-Risk High-Value
CUST00253,3,1901.1299999999999,191,0.0,0.0,Regular Value Core
CUST00254,4,3041.57,183,0.0,0.0,At-Risk High-Value
CUST00255,6,4806.29,22,2.0,0.16666666666666666,Champions
CUST00256,2,1727.8400000000001,181,1.0,0.0,Regular Value Core
CUST00257,2,1042.47,55,0.0,0.0,New Shoppers
CUST00258,10,6259.64,42,1.0,0.0,Champions
CUST00259,1,1519.33,192,0.0,0.0,Regular Value Core
CUST00260,2,1820.81,2,0.0,0.0,New Shoppers
CUST00261,1,350.44,51,0.0,0.0,New Shoppers
CUST00262,2,1318.44,9,0.0,0.0,New Shoppers
CUST00263,12,7940.0,25,6.0,0.25,Champions
CUST00264,2,671.0999999999999,31,1.0,0.0,New Shoppers
CUST00265,1,510.24,77,0.0,0.0,Regular Value Core
CUST00266,4,5306.62,158,2.0,0.25,At-Risk High-Value
CUST00267,4,4026.2300000000005,29,2.0,0.25,Regular Value Core
CUST00268,3,2097.02,9,1.0,0.0,Regular Value Core
CUST00269,3,2563.9300000000003,30,1.0,0.0,Regular Value Core
CUST00270,2,968.72,75,0.0,0.0,Regular Value Core
CUST00271,4,3933.98,32,0.0,0.0,Regular Value Core
CUST00272,13,13721.27,12,0.0,0.0,Champions
CUST00273,8,6009.55,13,4.0,0.125,Champions
CUST00274,1,695.0,71,0.0,0.0,Regular Value Core
CUST00275,6,3879.21,241,1.0,0.0,At-Risk High-Value
CUST00276,6,8721.42,47,0.0,0.0,Regular Value Core
CUST00277,3,1630.27,2,0.0,0.0,Regular Value Core
CUST00278,4,2768.06,69,2.0,0.0,Regular Value Core
CUST00279,8,5366.55,12,1.0,0.0,Champions
CUST00280,8,7231.759999999999,10,0.0,0.0,Champions
CUST00281,2,1161.06,35,0.0,0.0,New Shoppers
CUST00282,2,774.76,296,1.0,0.0,Regular Value Core
CUST00283,10,7871.0,18,4.0,0.2,Champions
CUST00284,2,781.62,291,0.0,0.0,Regular Value Core
CUST00285,4,2158.18,13,0.0,0.0,Regular Value Core
CUST00286,2,2027.25,369,1.0,0.0,At-Risk High-Value
CUST00287,6,6236.95,69,1.0,0.0,Regular Value Core
CUST00288,2,1096.1,110,1.0,0.0,Regular Value Core
CUST00289,2,811.06,5,0.0,0.0,New Shoppers
CUST00290,1,251.16,9,1.0,0.0,New Shoppers
CUST00291,9,5604.34,58,3.0,0.2222222222222222,Regular Value Core
CUST00292,1,657.91,43,1.0,1.0,New Shoppers
CUST00293,3,1699.71,230,0.0,0.0,Regular Value Core
CUST00294,1,1714.42,102,0.0,0.0,Regular Value Core
CUST00295,2,2000.29,16,0.0,0.0,New Shoppers
CUST00296,4,1989.83,132,0.0,0.0,Regular Value Core
CUST00297,1,1130.29,154,1.0,0.0,Regular Value Core
CUST00298,1,1122.99,201,0.0,0.0,Regular Value Core
CUST00299,4,2302.1800000000003,343,2.0,0.25,At-Risk High-Value
CUST00300,4,2276.6099999999997,5,0.0,0.0,Regular Value Core
CUST00301,7,7023.07,9,3.0,0.0,Champions
CUST00302,4,2534.0,148,3.0,0.25,At-Risk High-Value
CUST00303,5,3674.2,48,2.0,0.2,Regular Value Core
CUST00304,3,2837.27,87,1.0,0.0,Regular Value Core
CUST00305,1,531.59,166,0.0,0.0,Regular Value Core
CUST00306,5,3658.35,19,2.0,0.2,Champions
CUST00307,3,2114.17,32,1.0,0.3333333333333333,Regular Value Core
CUST00308,2,1535.15,66,0.0,0.0,Regular Value Core
CUST00309,3,2731.6099999999997,8,0.0,0.0,Regular Value Core
CUST00310,1,578.27,22,1.0,1.0,New Shoppers
CUST00311,1,1336.82,48,0.0,0.0,New Shoppers
CUST00312,1,486.27,64,0.0,0.0,Regular Value Core
CUST00313,1,769.77,162,1.0,0.0,Regular Value Core
CUST00314,1,560.98,16,0.0,0.0,New Shoppers
CUST00315,10,10137.960000000001,17,2.0,0.0,Champions
CUST00316,2,1079.82,97,1.0,0.5,Regular Value Core
CUST00317,1,1353.24,100,0.0,0.0,Regular Value Core
CUST00318,5,5959.01,47,1.0,0.0,Regular Value Core
CUST00319,6,2585.4700000000003,147,0.0,0.0,At-Risk High-Value
CUST00320,7,5001.34,25,1.0,0.0,Champions
CUST00321,6,3100.54,116,2.0,0.0,At-Risk High-Value
CUST00322,5,3351.86,4,0.0,0.0,Champions
CUST00323,8,7225.06,5,0.0,0.0,Champions
CUST00324,4,6039.5599999999995,274,2.0,0.25,At-Risk High-Value
CUST00325,3,3542.89,44,0.0,0.0,Regular Value Core
CUST00326,3,1868.65,124,1.0,0.0,Regular Value Core
CUST00327,3,1087.67,2,0.0,0.0,Regular Value Core
CUST00328,1,371.68,322,0.0,0.0,Regular Value Core
CUST00329,1,299.28,1,0.0,0.0,New Shoppers
CUST00330,3,1307.8000000000002,74,1.0,0.0,Regular Value Core
CUST00331,5,3450.66,151,2.0,0.2,At-Risk High-Value
CUST00332,2,2059.8,24,2.0,0.5,High-Value Unhappy
CUST00333,1,870.15,75,0.0,0.0,Regular Value Core
CUST00334,3,2170.31,85,1.0,0.3333333333333333,Regular Value Core
CUST00335,3,2480.1,148,2.0,0.0,At-Risk High-Value
CUST00336,4,1900.82,29,0.0,0.0,Regular Value Core
CUST00337,2,1887.73,7,1.0,0.0,New Shoppers
CUST00338,1,887.38,12,1.0,1.0,New Shoppers
CUST00339,4,2671.88,92,1.0,0.25,At-Risk High-Value
CUST00340,8,5565.53,46,1.0,0.125,Regular Value Core
CUST00341,1,790.16,19,0.0,0.0,New Shoppers
CUST00342,3,2620.58,1,1.0,0.0,Regular Value Core
CUST00343,5,2489.52,94,0.0,0.0,At-Risk High-Value
CUST00344,5,4461.57,189,4.0,0.0,At-Risk High-Value
CUST00345,5,5510.36,3,1.0,0.0,Champions
CUST00346,11,10011.3,72,2.0,0.18181818181818182,Regular Value Core
CUST00347,4,3311.46,184,1.0,0.0,At-Risk High-Value
CUST00348,3,2509.74,1,0.0,0.0,Regular Value Core
CUST00349,4,3794.38,74,0.0,0.0,Regular Value Core
CUST00350,1,537.51,41,0.0,0.0,New Shoppers
CUST00351,7,7447.2,9,3.0,0.14285714285714285,Champions
CUST00352,1,1000.77,27,0.0,0.0,New Shoppers
CUST00353,4,1755.1200000000001,118,1.0,0.0,Regular Value Core
CUST00354,5,2894.64,36,1.0,0.0,Champions
CUST00355,4,3405.2,171,2.0,0.0,At-Risk High-Value
CUST00356,5,2474.34,7,2.0,0.0,Champions
CUST00357,1,513.15,42,1.0,0.0,New Shoppers
CUST00358,2,1523.3600000000001,101,1.0,0.0,Regular Value Core
CUST00359,8,6332.549999999999,3,0.0,0.0,Champions
CUST00360,6,8052.9800000000005,2,0.0,0.0,Champions
CUST00361,1,361.04,169,1.0,1.0,Regular Value Core
CUST00362,4,2137.19,23,1.0,0.0,Regular Value Core
CUST00363,1,413.99,27,1.0,0.0,New Shoppers
CUST00364,3,2049.88,359,2.0,0.0,At-Risk High-Value
CUST00365,1,1015.06,158,0.0,0.0,Regular Value Core
CUST00366,4,5279.17,92,1.0,0.0,At-Risk High-Value
CUST00367,1,884.81,212,0.0,0.0,Regular Value Core
CUST00368,1,348.81,55,1.0,1.0,New Shoppers
CUST00369,3,2263.62,71,0.0,0.0,Regular Value Core
CUST00370,1,452.14,172,0.0,0.0,Regular Value Core
CUST00371,3,2631.54,124,1.0,0.0,At-Risk High-Value
CUST00372,1,431.11,56,1.0,0.0,New Shoppers
CUST00373,2,1612.8899999999999,73,0.0,0.0,Regular Value Core
CUST00374,2,795.8299999999999,219,1.0,0.0,Regular Value Core
CUST00375,6,3564.29,85,1.0,0.0,Regular Value Core
CUST00376,8,5532.45,45,0.0,0.0,Champions
CUST00377,4,2214.32,80,0.0,0.0,Regular Value Core
CUST00378,1,1622.32,99,0.0,0.0,Regular Value Core
CUST00379,2,1029.97,75,0.0,0.0,Regular Value Core
CUST00380,6,3460.9,39,1.0,0.0,Champions
CUST00381,1,597.86,182,1.0,0.0,Regular Value Core
CUST00382,2,766.55,45,0.0,0.0,New Shoppers
CUST00383,6,4050.1099999999997,8,3.0,0.16666666666666666,Champions
CUST00384,1,470.31,26,0.0,0.0,New Shoppers
CUST00385,7,5606.02,63,3.0,0.0,Regular Value Core
CUST00386,6,4989.88,0,1.0,0.0,Champions
CUST00387,1,721.21,40,0.0,0.0,New Shoppers
CUST00388,5,2574.36,37,1.0,0.0,Champions
CUST00389,9,6570.38,14,3.0,0.0,Champions
CUST00390,2,1639.4299999999998,54,1.0,0.0,New Shoppers
CUST00391,3,2830.86,1,0.0,0.0,Regular Value Core
CUST00392,7,5290.95,133,0.0,0.0,At-Risk High-Value
CUST00393,2,2231.04,12,1.0,0.0,New Shoppers
CUST00394,1,404.19,1,1.0,0.0,New Shoppers
CUST00395,3,1418.71,35,1.0,0.0,Regular Value Core
CUST00396,5,3031.7799999999997,10,1.0,0.0,Champions
CUST00397,11,9647.73,79,4.0,0.0,Regular Value Core
CUST00398,4,2823.02,8,1.0,0.0,Regular Value Core
CUST00399,4,2749.65,262,0.0,0.0,At-Risk High-Value
CUST00400,1,402.05,44,0.0,0.0,New Shoppers
CUST00401,1,568.99,66,1.0,0.0,Regular Value Core
CUST00402,3,1410.06,132,1.0,0.0,Regular Value Core
CUST00403,2,2029.3200000000002,21,0.0,0.0,New Shoppers
CUST00404,6,4631.52,193,2.0,0.0,At-Risk High-Value
CUST00405,1,282.03,2,1.0,1.0,New Shoppers
CUST00406,3,997.27,10,1.0,0.0,Regular Value Core
CUST00407,1,1569.01,18,0.0,0.0,New Shoppers
CUST00408,7,4155.91,40,4.0,0.14285714285714285,Champions
CUST00409,7,4946.35,58,3.0,0.42857142857142855,High-Value Unhappy
CUST00410,2,1365.22,1,1.0,0.0,New Shoppers
CUST00411,1,1756.76,253,0.0,0.0,Regular Value Core
CUST00412,1,1486.51,529,0.0,0.0,Regular Value Core
CUST00413,3,1644.89,26,2.0,0.3333333333333333,High-Value Unhappy
CUST00414,1,311.44,3,1.0,1.0,New Shoppers
CUST00415,2,2282.07,120,1.0,0.0,At-Risk High-Value
CUST00416,2,1020.28,28,1.0,0.0,New Shoppers
CUST00417,4,2750.0299999999997,151,0.0,0.0,At-Risk High-Value
CUST00418,2,1919.75,5,1.0,0.0,New Shoppers
CUST00419,2,1795.1,98,0.0,0.0,Regular Value Core
CUST00420,4,4050.29,18,1.0,0.0,Regular Value Core
CUST00421,7,5557.389999999999,0,2.0,0.14285714285714285,Champions
CUST00422,2,1075.03,125,0.0,0.0,Regular Value Core
CUST00423,3,2349.76,135,0.0,0.0,At-Risk High-Value
CUST00424,2,1297.49,113,1.0,0.0,Regular Value Core
CUST00425,2,1502.44,113,0.0,0.0,Regular Value Core
CUST00426,2,1478.25,77,0.0,0.0,Regular Value Core
CUST00427,2,331.53,1,1.0,0.5,New Shoppers
CUST00428,5,2817.05,74,1.0,0.0,Regular Value Core
CUST00429,1,432.48,6,1.0,0.0,New Shoppers
CUST00430,3,2369.81,22,0.0,0.0,Regular Value Core
CUST00431,2,903.65,154,0.0,0.0,Regular Value Core
CUST00432,4,5036.07,112,0.0,0.0,At-Risk High-Value
CUST00433,6,4884.34,36,4.0,0.0,Champions
CUST00434,2,1034.35,293,0.0,0.0,Regular Value Core
CUST00435,3,1740.56,200,1.0,0.3333333333333333,Regular Value Core
CUST00436,4,2770.92,49,0.0,0.0,Regular Value Core
CUST00437,1,729.22,151,0.0,0.0,Regular Value Core
CUST00438,3,2466.39,64,3.0,1.0,High-Value Unhappy
CUST00439,3,1981.34,119,1.0,0.3333333333333333,Regular Value Core
CUST00440,1,325.03,64,1.0,0.0,Regular Value Core
CUST00441,1,786.67,211,1.0,0.0,Regular Value Core
CUST00442,8,4905.34,69,1.0,0.0,Regular Value Core
CUST00443,3,1694.35,265,0.0,0.0,Regular Value Core
CUST00444,1,520.84,232,0.0,0.0,Regular Value Core
CUST00445,1,1594.8,26,0.0,0.0,New Shoppers
CUST00446,1,521.16,26,0.0,0.0,New Shoppers
CUST00447,7,3091.4,36,2.0,0.14285714285714285,Champions
